size,MAE,ppvalue,barrier,method,landscape
25,3.86255072111693,0.930121786624379,strong,clustering,scarcely
25,3.57000011043957,0.546206832032554,strong,clustering,scarcely
25,1.83316067187874,0.758962938347203,strong,clustering,scarcely
25,2.32218163208567,0.42828975442035,strong,clustering,scarcely
25,1.52775707526654,0.507540915182614,strong,clustering,scarcely
25,2.64115949957171,0.664766325054626,strong,clustering,scarcely
25,2.65350879842122,0.69705060847601,strong,clustering,scarcely
20,1.28391088022004,0.523490741472967,strong,clustering,scarcely
20,2.0626201345189,0.614585441976779,strong,clustering,scarcely
20,1.88630320695309,0.691427844094999,strong,clustering,scarcely
20,2.3204063758938,0.517906558569527,strong,clustering,scarcely
20,1.64257779483951,0.701884009407392,strong,clustering,scarcely
20,2.19594875363072,0.29726192351055,strong,clustering,scarcely
20,2.52850915179654,0.70760043659683,strong,clustering,scarcely
20,1.4019765106847,0.521647539941582,strong,clustering,scarcely
20,2.71988328357631,0.351784890772264,strong,clustering,scarcely
20,2.51774344575379,0.265979067865337,strong,clustering,scarcely
15,2.24719386124762,0.481979738150072,strong,clustering,scarcely
15,2.08058201515702,0.449499080925637,strong,clustering,scarcely
15,2.19108456229947,0.61404892236932,strong,clustering,scarcely
15,1.71901426328845,0.754268210422574,strong,clustering,scarcely
15,2.85156812709604,0.591283450880402,strong,clustering,scarcely
15,3.22831110409068,0.377683822285019,strong,clustering,scarcely
15,2.76836072109303,0.567476677177839,strong,clustering,scarcely
15,1.79786997124271,0.525007319793834,strong,clustering,scarcely
15,4.93674689097426,0.898330674802131,strong,clustering,scarcely
15,3.94078418429243,0.45554929325481,strong,clustering,scarcely
10,1.03935628878367,0.630512211555376,strong,clustering,scarcely
10,4.40077078618473,0.214608735746997,strong,clustering,scarcely
10,0.877110625275605,0.398638398192391,strong,clustering,scarcely
10,0.341555285290346,0.48770438952434,strong,clustering,scarcely
10,2.36676452991305,0.722674296659923,strong,clustering,scarcely
10,1.49638522097137,0.325741321921276,strong,clustering,scarcely
10,3.01145920311043,0.25979954609191,strong,clustering,scarcely
10,1.79144324127533,0.664185486222432,strong,clustering,scarcely
10,1.06075866823019,0.601103553265895,strong,clustering,scarcely
10,1.06122976911778,0.380914511024809,strong,clustering,scarcely
40,1.16716594517659,0.550124194267664,weak,clustering,scarcely
40,1.92582565097279,0.319314097781658,weak,clustering,scarcely
40,1.30497914709697,0.54142995476299,weak,clustering,scarcely
40,1.87950395154784,0.459639890456236,weak,clustering,scarcely
40,2.47825608196062,0.695542319075371,weak,clustering,scarcely
40,1.70494926069257,0.627857831873362,weak,clustering,scarcely
40,1.58977179167253,0.512045178225893,weak,clustering,scarcely
40,1.547400724251,0.615660208409819,weak,clustering,scarcely
40,1.26375986925173,0.724340132728793,weak,clustering,scarcely
40,1.54568185037611,0.300105384845476,weak,clustering,scarcely
35,1.21341705652545,0.548107918547767,weak,clustering,scarcely
35,1.53611221418072,0.557274214133466,weak,clustering,scarcely
35,1.44781086453737,0.721791496137362,weak,clustering,scarcely
35,2.28789685946957,0.711822862139529,weak,clustering,scarcely
35,2.08661286581279,0.699369390040742,weak,clustering,scarcely
35,1.80129002275395,0.60930732601003,weak,clustering,scarcely
35,1.6341308315252,0.409131775043416,weak,clustering,scarcely
35,2.23054750132209,0.593347641991122,weak,clustering,scarcely
35,1.64999945371592,0.424931963608818,weak,clustering,scarcely
35,1.35341472154622,0.652594648374836,weak,clustering,scarcely
30,2.22047845216945,0.0715168274398376,weak,clustering,scarcely
30,2.44851989494757,0.297179591823246,weak,clustering,scarcely
30,2.01252898123799,0.6719346376064,weak,clustering,scarcely
30,1.55364209238006,0.332923901419025,weak,clustering,scarcely
30,1.6836222547731,0.374844505886548,weak,clustering,scarcely
30,1.80053611376003,0.660154600893805,weak,clustering,scarcely
30,1.53188026102107,0.607861109110941,weak,clustering,scarcely
30,1.88099395801799,0.608764611095515,weak,clustering,scarcely
30,2.36336450682714,0.551767260016946,weak,clustering,scarcely
30,2.47664760371929,0.776015610969633,weak,clustering,scarcely
25,3.29768730561134,0.874932891302904,weak,clustering,scarcely
25,2.21456008726294,0.320316955990023,weak,clustering,scarcely
25,1.05477494790951,0.461692901171698,weak,clustering,scarcely
25,1.66167725286561,0.700953527802028,weak,clustering,scarcely
25,2.4462854282436,0.768443802624764,weak,clustering,scarcely
25,2.56852922740855,0.317585514267053,weak,clustering,scarcely
25,1.57629094603617,0.735087561743135,weak,clustering,scarcely
25,1.69098627982895,0.68882343614013,weak,clustering,scarcely
25,1.51798090421238,0.681652088602213,weak,clustering,scarcely
25,2.13937472387901,0.781930709243728,weak,clustering,scarcely
20,3.00342744140057,0.227098540802771,weak,clustering,scarcely
20,2.8921310466282,0.10838355861127,weak,clustering,scarcely
20,1.49209885571222,0.624931708917501,weak,clustering,scarcely
20,1.64966234937584,0.770763598627735,weak,clustering,scarcely
20,1.13952925793788,0.522493684001897,weak,clustering,scarcely
20,1.442317491013,0.507147734315809,weak,clustering,scarcely
20,1.66687184142882,0.676360412106792,weak,clustering,scarcely
20,1.60682588041099,0.662571457914035,weak,clustering,scarcely
20,1.42130870303864,0.325128727560922,weak,clustering,scarcely
20,2.42605377406913,0.732531042909261,weak,clustering,scarcely
15,1.71983306847509,0.375926349328001,weak,clustering,scarcely
15,2.25440798980351,0.7932901075725,weak,clustering,scarcely
15,1.54247912505068,0.538712691942235,weak,clustering,scarcely
15,3.39725599532327,0.817510624892076,weak,clustering,scarcely
15,1.88196440673032,0.511124812818672,weak,clustering,scarcely
15,2.25234290789891,0.788634194827686,weak,clustering,scarcely
15,1.3770066014273,0.557429876904422,weak,clustering,scarcely
15,2.25775990095691,0.756799301111065,weak,clustering,scarcely
15,3.77794912808382,0.402245069773252,weak,clustering,scarcely
15,1.57600533668013,0.588869195144572,weak,clustering,scarcely
10,3.06998635983652,0.662080608083753,weak,clustering,scarcely
10,2.34276310470188,0.137380251610375,weak,clustering,scarcely
10,3.3538583641243,0.56562193875838,weak,clustering,scarcely
10,1.35343878535885,0.304754167808309,weak,clustering,scarcely
10,1.33073543259235,0.44491929824359,weak,clustering,scarcely
10,0.426559265569799,0.456857868761489,weak,clustering,scarcely
10,1.11234977840493,0.355582846212802,weak,clustering,scarcely
10,2.10658597658691,0.31803573910287,weak,clustering,scarcely
10,2.61899895918088,0.793058100497975,weak,clustering,scarcely
10,5.1766486329335,0.499411233943945,weak,clustering,scarcely
40,2.67377605003177,0.644697176965069,strong,random,scarcely
40,4.16684658932677,0.857536464479003,strong,random,scarcely
40,2.46878669272607,0.801249898973194,strong,random,scarcely
40,2.13871370481384,0.354999950712563,strong,random,scarcely
40,1.91805943382393,0.593506744702959,strong,random,scarcely
40,1.70857256337499,0.492583809233687,strong,random,scarcely
40,2.56029868659512,0.488773047069153,strong,random,scarcely
40,2.5270686596544,0.529425984152665,strong,random,scarcely
40,2.75787163929246,0.760210701579386,strong,random,scarcely
40,3.760038441553,0.800959106483991,strong,random,scarcely
35,2.72190993983382,0.798846674883573,strong,random,scarcely
35,3.11336037216563,0.489404730039857,strong,random,scarcely
35,1.44460288247496,0.50589816470762,strong,random,scarcely
35,2.93081583263175,0.725022821396554,strong,random,scarcely
35,3.14675446771235,0.498214627134916,strong,random,scarcely
35,3.15299847256912,0.784085211220575,strong,random,scarcely
35,2.19611533255504,0.673582334148933,strong,random,scarcely
35,2.54258807372259,0.720555215430257,strong,random,scarcely
35,3.32248582908233,0.522121336701465,strong,random,scarcely
35,3.05352936954606,0.884597068892103,strong,random,scarcely
30,4.70118039711003,0.958500008324238,strong,random,scarcely
30,1.82364907239864,0.32035652862781,strong,random,scarcely
30,4.96648581996891,0.863601980455383,strong,random,scarcely
30,2.95727667131855,0.74628360509525,strong,random,scarcely
30,2.42406291074587,0.639871888542174,strong,random,scarcely
30,2.40529216244141,0.696521146359186,strong,random,scarcely
30,1.60033685262891,0.477389178970742,strong,random,scarcely
30,2.64746436489646,0.812515673651601,strong,random,scarcely
30,2.59590510248222,0.717485669802937,strong,random,scarcely
30,1.93353481155988,0.667084830367973,strong,random,scarcely
25,3.62818427127637,0.377904538066366,strong,random,scarcely
25,1.87683225000738,0.546573053265998,strong,random,scarcely
25,2.91152071266497,0.859217170259738,strong,random,scarcely
25,3.33686163227296,0.803279866023535,strong,random,scarcely
25,1.53180616455986,0.615304174532237,strong,random,scarcely
25,3.53979633749001,0.884891573378349,strong,random,scarcely
25,1.87633325860732,0.703668985964808,strong,random,scarcely
25,2.71456822913759,0.611682758026798,strong,random,scarcely
25,1.64817863842238,0.601803087419534,strong,random,scarcely
25,2.85643437609463,0.520929233029002,strong,random,scarcely
20,4.88533103136876,0.963777871831803,strong,random,scarcely
20,2.10031363165204,0.677005214348592,strong,random,scarcely
20,1.88269853755502,0.706679302200182,strong,random,scarcely
20,3.05751788307303,0.740525823299814,strong,random,scarcely
20,3.39062373095188,0.867882472061405,strong,random,scarcely
20,1.80610774714426,0.38343915451389,strong,random,scarcely
20,1.61241788227045,0.379809445407785,strong,random,scarcely
20,2.8486593170572,0.69989813674986,strong,random,scarcely
20,1.75664833686827,0.499103569696788,strong,random,scarcely
20,2.95687012578628,0.875545497192557,strong,random,scarcely
15,3.93410102196808,0.764048363229341,strong,random,scarcely
15,4.01882894073886,0.773808497776444,strong,random,scarcely
15,3.07023035272455,0.862986111465156,strong,random,scarcely
15,2.57359984515012,0.53740337159705,strong,random,scarcely
15,1.84988427573404,0.389906902309498,strong,random,scarcely
15,2.63424479425087,0.671155061075324,strong,random,scarcely
15,2.64171460614331,0.345711476783695,strong,random,scarcely
15,3.38426676915056,0.749918965796769,strong,random,scarcely
15,2.27781313095932,0.194085454465509,strong,random,scarcely
15,3.20608601124669,0.64653983345457,strong,random,scarcely
10,2.45005391372587,0.766370005327861,strong,random,scarcely
10,3.57006636039448,0.865880866868004,strong,random,scarcely
10,1.89982968253022,0.247492922566864,strong,random,scarcely
10,2.21364721353168,0.687877185739763,strong,random,scarcely
10,4.31081908174624,0.881229600238997,strong,random,scarcely
10,4.9425188934369,0.925114095814892,strong,random,scarcely
10,2.86920013409689,0.646973108930937,strong,random,scarcely
10,4.15984374232385,0.0874358048488158,strong,random,scarcely
10,1.26322973755092,0.345498344767418,strong,random,scarcely
10,1.5572895893245,0.682543814382938,strong,random,scarcely
40,2.70814782513313,0.750027312823778,weak,random,scarcely
40,4.23929381574532,0.864726048404825,weak,random,scarcely
40,2.93546264834039,0.824216370995819,weak,random,scarcely
40,2.04610351845245,0.381990106783643,weak,random,scarcely
40,1.55697975674496,0.557810095305248,weak,random,scarcely
40,1.67698206239238,0.608495531003606,weak,random,scarcely
40,2.43703451882072,0.501800858839795,weak,random,scarcely
40,2.34365716584483,0.54086197078576,weak,random,scarcely
40,2.79132157868089,0.764159539712869,weak,random,scarcely
40,3.60462391484027,0.778963483034949,weak,random,scarcely
35,2.94839158985829,0.798921564574373,weak,random,scarcely
35,2.85498708799512,0.482728082157986,weak,random,scarcely
35,1.69148679307952,0.558603149873979,weak,random,scarcely
35,2.33858745256264,0.745304960950221,weak,random,scarcely
35,3.18144661740935,0.493979867200656,weak,random,scarcely
35,3.00049140229938,0.751260012449681,weak,random,scarcely
